name,id
Tomahawk Quad (Lift#8),158017197
Triple Chair (Lift # 7),158022243
Super Chief High Speed Quad (Lift #6),158089780
Handle Tow,158099558
 _8,158099560
Magic Carpet,158099565
Lightning Quad,256330905
Catskill Thunder,751412810
