name,id
Mittersill Double,158306409
Cannonball Quad,158306410
Peabody Express Quad,158306411
Cannon Mountain Aerial Tramway,158306412
Zoomer Triple,158306413
Eagle Cliff Triple,158306414
Tuckerbrook Quad,242291491
Brookside Triple,242291492
Huckerbrook Handle Tow,242291493
Valar,776607936
