name,id
Freeway,20074852
Cloudsplitter Gondola,32051122
Bear,204861429
Mountain Run,205154068
Little Whiteface,32051125
Falcon Flyer,32051126
Face Lift,32051128
Summit Quad,32051129
Lookout Mountain Triple,32111921
Cub Carpet,1012174058
Coyote Cruiser,1012174059
