name,id
Double Runner East,137778467
Sugarloaf SuperQuad,137778468
Bateau T-Bar,137778469
Skyline,137778470
Whiffletree SuperQuad,137778670
King Pine,137778672
Skidway,137778674
Timberline,137778679
West Mountain,137778680
Moosecalator,137779427
Snubber,137779428
Sawduster,137779429
Doubble Runner West,140628525
