name,id
Gondola One,17037801
Eagle Bahn Gondola,17038066
Riva Bahn Express Lift,17038308
Northwoods Express Lift,17038607
Highline Express Lift,17039235
Wildwood Express Lift,17039297
High Noon Express Lift,17041793
Game Creek Express Lift,17041795
Pride Express Lift,89630012
Tea Cup Express Lift,94197335
Orient Express Lift,94197338
Skyline Express Lift,94197339
Pete's Express Lift,94197344
Mongolia,94197347
Sun Up Express Lift,94197349
Mountain Top Express Lift (4),95407543
Avanti Express Lift,95407548
Wapiti,95469496
Sourdough Express Lift,96250661
Earl's Express Lift,97565354
Born Free Express Lift,102020349
Cascade Village Lift (20),190560472
Elvis Bahn,191547019
Gopher Hill Lift,191547029
Surface Lift,191557300
Surface Lift_24,191557303
Little Eagle,191557307
 _37,258694653
Black Forest,258695749
Golden Peak Carpet,444723454
Tubing Hill Lift,444879005
Golden Peak,772494514
