name,id
Stagecoach Express Base,186155502
 _0,258139827
Aerial Tramway,313466491
Big Easy,313466503
Boulder,313466515
Canyon Express,313466519
Comet Express,313466525
Dipper Express,313466538
First Ride,313466562
Galaxy,313466566
Heavenly Gondola,313466568
Groove,313466573
Gunbarrel Express,313466574
Mott Canyon,313466634
North Bowl,313466643
Olympic Express,313466651
Patsy's,313466666
Powderbowl Express,313466679
Sky Express,313466703
Stagecoach Express,313466710
Tamarack Express,313466717
Tubing Hill,313466728
World Cup,313466746
Pioneer,390004784
