name,id
Super Gauge Express,17055751
Iron Horse,17057709
Challenger,17057858
Explorer Express,17058553
Looking Glass,17058701
Arrow,17058716
Prospector Express,17058732
Olympia Express,17058979
Sunnyside,30613408
High Lonesome Express,30613495
The Gondola,31145982
Pioneer Express,31145997
Panoramic Express,31998986
Eagle Wind,410145914
Village Cabriolet,72608831
Discovery,86248729
Gemini Express,258676524
Mt. Maury,258676844
Comet,258676845
Meteor,258676846
Endeavor,258676847
Lariat,258679222
Pony Express,258679727
Galloping Goose,258679869
