name,id
Barker Mountain Express,11455613
Chondola,181218173
Sundance Surface Lift,181218174
South Ridge Express,181218175
White Cap Quad,181218314
North Peak Express,181218315
Spruce Peak Triple,181218316
Quantum Leap Triple,181218317
White Heat Quad,198546880
OZ Quad,198546882
Aurora Peak Quad,198546883
Jordan Bowl Express,198546884
Little White Cap Quad,198546885
Jordan Mountain Double,198546886
Locke Mountain Triple,198546887
Competition T-Bar,715995010
Merrill Hill,870598057
Barker Mountain Express_7,951727266
