name,id
Spruce Triple,205154240
Sunapee Express Quad,205154242
North Peak Triple,205154243
Clipper Ship Quad,205154245
Sunbowl Express Quad,205154248
Small Carpet,242371283
Middle Carpet,242371284
Rope Tow,242371285
Flying Carpet,242371286
Piggyback,242371287
