name,id
Coonskin Lift (7),17142381
Polar Queen Express (5),17144535
Gondola Line,17145067
Village Express (4),97622900
Apex Lift (6),97627574
Gold Hill Express (14),97633061
Revelation Lift (15),97633724
Prospect Express (12),97854041
Ute Park (11),200763621
Sunshine Express,200763622
Chondola (1),230902139
Free Intercept Gondola,231107982
Oak Street Lift (8),258652557
Plunge Lift (9),258652724
2 Park Lift,258653395
Gondola Magic Carpet,258653396
Meadows Magic Carpet,258653397
Lynx (13),258655710
