name,id
Panorama Gondola,10897351
Chair 22,10897937
Canyon Express (16),10898034
Roller Coaster Express (4),10898129
Gold Rush Express (10),10898337
High Five Express (5),10898353
Face Lift Express (3),10898390
Chair 23,10898418
Stump Alley Express (2),10898450
Broadway Express (1),10898499
Eagle Express (15),32780922
Village Gondola,32781149
Schoolyard Express (17),32781181
Chair 7,32781232
Chair 8,32781342
Thunder Bound Express (6),32921313
Chair 14,32921352
Discovery Chair (11),32921397
Chair 12,32921465
Chair 13,32921469
Cloud Nine Express (9),32921513
Chair 20,32921824
Chair 21,32921839
Chair 25,32921879
Heimo's Express,258125860
Festival Poma,258127173
