trail_id,for_display,lat,lon,elevation,slope,index
250179029,True,44.24906560,-71.22471920,1209.67,0.00,0
250179029,True,44.24914438,-71.22470175,1210.71,6.69,1
250179029,True,44.24922315,-71.22468430,1211.25,3.48,2
250179029,True,44.24930193,-71.22466685,1211.84,3.81,3
250179029,True,44.24938070,-71.22464940,1212.48,4.13,4
250179029,True,44.24944988,-71.22467355,1211.91,-4.11,5
250179029,True,44.24951905,-71.22469770,1211.45,-3.32,6
250179029,True,44.24958822,-71.22472185,1210.32,-8.11,7
250179029,True,44.24965740,-71.22474600,1208.94,-9.87,8
250179029,True,44.24970575,-71.22467065,1209.64,4.97,9
250179029,True,44.24975410,-71.22459530,1209.74,0.71,10
250179029,True,44.24980850,-71.22451031,1209.36,-2.40,11
250179029,True,44.24986290,-71.22442532,1208.70,-4.16,12
250179029,True,44.24991730,-71.22434034,1208.60,-0.63,13
250179029,True,44.24997170,-71.22425535,1208.25,-2.21,14
250179029,True,44.25002610,-71.22417036,1207.47,-4.91,15
250179029,True,44.25008050,-71.22408537,1206.56,-5.72,16
250179029,True,44.25013490,-71.22400039,1205.72,-5.29,17
250179029,True,44.25018930,-71.22391540,1204.71,-6.35,18
250179029,True,44.25024790,-71.22381885,1202.58,-11.93,19
250179029,True,44.25030650,-71.22372230,1200.72,-10.46,20
250179029,True,44.25036510,-71.22362575,1199.10,-9.13,21
250179029,True,44.25042370,-71.22352920,1197.82,-7.24,22
250179029,True,44.25049670,-71.22344740,1195.68,-11.62,23
250179029,True,44.25056970,-71.22336560,1193.49,-11.88,24
250179029,True,44.25063960,-71.22330710,1190.38,-18.94,25
250179029,True,44.25067190,-71.22325980,1188.80,-16.89,26
250179029,True,44.25073640,-71.22322950,1186.28,-18.42,27
250179029,True,44.25080090,-71.22319920,1184.28,-14.80,28
250179029,True,44.25089270,-71.22317110,1182.50,-9.67,29
250179029,True,44.25099580,-71.22327815,1178.30,-16.38,30
250179029,True,44.25109890,-71.22338520,1174.18,-16.09,31
250179029,True,44.25120200,-71.22349225,1170.89,-12.97,32
250179029,True,44.25130510,-71.22359930,1169.00,-7.54,33
250179029,True,44.25136380,-71.22370540,1168.72,-1.50,34
250179029,True,44.25142720,-71.22371620,1168.69,-0.24,35
250179029,True,44.25148490,-71.22368930,1168.35,-2.88,36
250179029,True,44.25153870,-71.22360485,1167.55,-5.08,37
250179029,True,44.25159250,-71.22352040,1166.45,-6.97,38
250179029,True,44.25166480,-71.22347930,1165.93,-3.43,39
250179029,True,44.25178187,-71.22352600,1165.50,-1.82,40
250179029,True,44.25189895,-71.22357270,1164.36,-4.81,41
250179029,True,44.25201603,-71.22361940,1162.90,-6.15,42
250179029,True,44.25213310,-71.22366610,1160.89,-8.44,43
250179029,True,44.25225018,-71.22371280,1156.90,-16.42,44
250179029,True,44.25236725,-71.22375950,1152.66,-17.39,45
250179029,True,44.25248433,-71.22380620,1148.49,-17.12,46
250179029,True,44.25260140,-71.22385290,1144.35,-17.00,47
250179029,True,44.25266233,-71.22380099,1142.73,-11.54,48
250179029,True,44.25272325,-71.22374909,1141.13,-11.40,49
