mountain,direction,state,region,difficulty,ease,vert,trail_count,lift_count,blacklist
49_degrees_north,n,WA,west,32.6,11.1,569.0,84,7,
alta,n,UT,west,49.7,10.3,762.0,121,11,snowbird
alyeska,e,AK,west,46.1,12.1,876.0,100,8,
andes_tower_hills,n,MN,midwest,18.7,11.2,65.0,19,5,
angel_fire,n,NM,west,32.8,7.2,667.0,79,7,
appalachian_ski_mountain,n,NC,southeast,16.8,13.4,79.0,11,5,
arapahoe_basin,n,CO,west,43.7,11.7,812.0,126,8,
arrowhead,n,NH,northeast,23.7,18.0,147.0,10,2,
aspen,n,CO,west,39.3,13.6,990.0,105,8,
aspen_highlands,n,CO,west,44.6,14.5,1298.0,84,5,
attitash,n,NH,northeast,29.0,9.7,506.0,80,9,
barker_mountain,w,ME,northeast,19.0,19.0,121.0,5,0,
bear_creek,w,PA,northeast,20.6,8.6,144.0,23,6,
beaver_creek,w,CO,west,33.5,9.2,1224.0,161,25,
belleayre,n,NY,northeast,29.8,6.6,426.0,89,8,
berkshire_east,n,MA,northeast,26.8,12.6,287.0,40,6,
big_bear,e,PA,northeast,21.4,9.5,179.0,17,6,
big_powderhorn_mountain,n,MI,midwest,27.6,9.4,126.0,48,10,
big_rock,e,ME,northeast,24.3,10.7,287.0,33,3,
big_sky,n,MT,west,51.5,7.7,1321.0,322,34,big_sky
big_squaw_mountain,n,ME,northeast,18.2,11.6,174.0,17,2,
"black_mountain,_ME",w,ME,northeast,23.9,12.7,379.0,28,3,
"black_mountain,_NH",s,NH,northeast,30.3,10.5,311.0,64,5,
blue_hills,e,MA,northeast,17.5,13.1,96.0,9,4,
blue_mountain,n,PA,northeast,23.5,8.7,328.0,38,11,
bogus_basin,e,ID,west,27.1,9.8,549.0,51,9,
bolton_valley,e,VT,northeast,28.1,8.7,474.0,78,6,
bousquet,n,MA,northeast,23.6,14.6,213.0,18,4,
breckenridge,w,CO,west,41.6,6.0,997.0,208,29,
bretton_woods,n,NH,northeast,28.9,6.0,426.0,118,10,
bridger_bowl,w,MT,west,36.1,10.1,732.0,62,10,
brighton,n,UT,west,38.6,12.6,523.0,73,7,
bristol,w,NY,northeast,22.8,6.8,349.0,38,6,
bromley,s,VT,northeast,27.6,11.5,394.0,49,8,
bryce_resort,n,VA,southeast,19.2,17.8,125.0,6,5,
burke,n,VT,northeast,31.1,14.0,600.0,62,6,
buttermilk,n,CO,west,23.6,11.6,612.0,44,6,
camelback,n,PA,northeast,25.6,9.1,272.0,35,12,
campgaw,w,NJ,northeast,18.4,10.4,75.0,13,7,
canaan_valley,n,WV,southeast,21.7,9.7,256.0,30,3,
cannon,n,NH,northeast,33.1,8.3,669.0,106,10,
cataloochee,n,NC,southeast,18.1,10.9,220.0,15,5,
catamount,n,MA NY,northeast,24.2,13.7,292.0,38,6,
chestnut_mountain,e,IL,midwest,24.7,13.7,125.0,18,8,
cochran's,n,VT,northeast,16.8,14.7,98.0,8,3,
"copper_mountain,_CO",n,CO,west,38.2,11.4,841.0,134,22,
cranmore,e,NH,northeast,24.7,8.7,343.0,63,8,
crested_butte,n,CO,west,49.4,7.9,908.0,265,15,
crotched_mountain,n,NH,northeast,23.4,13.2,268.0,29,5,
crystal_mountain,w,WA,west,49.5,10.2,949.0,177,10,
dartmouth_skiway,n,NH,northeast,26.8,16.4,302.0,26,3,
deer_valley,n,UT,west,38.5,8.8,899.0,149,21,park_city
discovery,s,MT,west,40.1,12.4,743.0,52,8,
eaton,w,ME,northeast,24.6,18.3,134.0,9,1,
elk_mountain,n,PA,northeast,24.4,13.0,273.0,30,7,
gore,w,NY,northeast,32.9,9.5,762.0,93,12,
grand_targhee,e,WY,west,37.8,13.3,693.0,64,5,
greek_peak,n,NY,northeast,26.0,10.2,253.0,42,9,
gunstock,w,NY,northeast,25.2,10.4,395.0,55,7,
heavenly,n,CA,west,43.5,8.3,1012.0,139,24,
hidden_valley,n,PA,northeast,21.5,10.1,147.0,32,8,
holiday_valley,n,NY,northeast,25.7,9.2,240.0,55,13,
hunt_hollow,w,NY,northeast,26.3,11.8,247.0,22,3,
hunter,n,NY,northeast,34.2,8.8,477.0,74,12,
jack_frost,n,PA,northeast,21.4,8.9,159.0,22,10,
jackson_hole,w,WY,west,45.5,11.3,1217.0,122,12,
jay_peak,n,VT,northeast,34.4,9.5,605.0,95,9,
jiminy_peak,n,MA,northeast,27.9,11.2,342.0,44,8,
june_mountain,n,CA,west,32.8,11.2,781.0,30,7,
keystone,n,CO,west,29.9,11.0,808.0,88,18,
killington,w,VT,northeast,33.8,7.5,926.0,162,21,
king_pine,s,NH,northeast,25.6,12.8,99.0,17,5,
kirkwood,n,CA,west,42.6,12.4,562.0,60,16,
laurel_mountain,s,PA,northeast,20.9,8.4,228.0,21,2,
liberty_mountain,e,PA,northeast,22.6,9.8,175.0,23,9,
loon,n,NH,northeast,29.5,8.8,666.0,82,11,
lost_valley,w,ME,northeast,22.4,11.0,68.0,21,2,
loveland,n,CO,west,38.2,12.1,666.0,93,11,
lutsen_mountains,n,MN,midwest,32.1,7.6,240.0,107,8,
mad_river_glen,w,VT,northeast,33.3,14.4,613.0,73,5,
magic,n,VT,northeast,32.4,9.0,448.0,73,6,
mammoth,n,CA,west,47.1,7.0,880.0,168,26,
mccauley_mountain,n,NY,northeast,24.1,13.4,156.0,21,5,
mcintyre,e,NH,northeast,12.2,12.2,46.0,9,5,
middlebury_snow_bowl,n,VT,northeast,28.4,17.6,292.0,21,4,
montage,e,PA,northeast,24.2,7.3,305.0,30,6,
montana_snowbowl,s,MT,west,36.2,10.3,775.0,63,5,
mount_abram,n,ME,northeast,26.2,9.7,316.0,50,5,
mount_bachelor,n,OR,west,31.3,10.0,1025.0,109,18,
mount_bohemia,s,MI,midwest,33.9,9.7,252.0,104,2,
mount_hood_meadows,s,OR,west,38.2,9.1,846.0,104,12,
mount_pleasant_of_edinboro,w,PA,northeast,11.6,11.6,98.0,6,1,
mount_rose,n,NV,west,41.9,8.3,495.0,62,12,
mount_snow,w,VT,northeast,29.3,8.4,504.0,90,20,
mount_southington,w,CT,northeast,17.5,12.1,107.0,15,7,
mount_sunapee,n,NH,northeast,24.7,9.0,447.0,70,10,
mountain_creek,n,NJ,northeast,27.2,9.7,311.0,44,10,
mowhawk,n,CT,northeast,21.3,13.0,176.0,18,7,
nashoba_valley,n,MA,northeast,20.6,14.2,70.0,18,10,
northeast_slopes,w,VT,northeast,21.9,16.5,103.0,17,3,
northstar_california,n,CA,west,32.6,9.5,695.0,84,20,
ober_gatlinburg,n,TN,southeast,19.6,15.5,166.0,7,6,
okemo,w,VT,northeast,27.9,8.8,658.0,122,19,
otis_ridge,n,MA,northeast,22.0,10.5,97.0,15,4,
