mountain,file_name,direction,state,region,difficulty,ease,vert,trail_count,lift_count,blacklist
Roundtop,roundtop.osm,n,PA,northeast,24.2,9.8,177.0,25,9,
Saddleback,saddleback.osm,n,ME,northeast,29.2,6.8,563.0,79,4,
Schweitzer,schweitzer.osm,s,ID,west,41.5,8.8,732.0,109,10,
Seven Springs,seven_springs.osm,n,PA,northeast,24.5,9.0,225.0,54,15,
Shawnee Mountain,shawnee_mountain.osm,n,PA,northeast,21.1,11.0,204.0,27,9,
Shawnee Peak,shawnee_peak.osm,w,ME,northeast,25.0,12.9,378.0,43,5,
Sierra at Tahoe,sierra_at_tahoe.osm,n,CA,west,31.0,9.3,667.0,51,13,
Silverton,silverton.osm,e,CO,west,51.2,25.0,986.0,60,1,
Ski Bradford,ski_bradford.osm,w,MA,northeast,18.0,12.5,66.0,15,9,
Ski Butternut,ski_butternut.osm,n,MA,northeast,18.6,12.1,285.0,22,10,
Ski Santa Fe,ski_santa_fe.osm,n,NM,west,31.6,7.4,534.0,80,8,
Ski Sundown,ski_sundown.osm,e,CT,northeast,21.4,12.6,174.0,14,5,
Ski Ward,ski_ward.osm,n,MA,northeast,11.4,9.8,49.0,9,6,
Smuggler's Notch,smuggler's_notch.osm,n,VT,northeast,37.0,10.8,772.0,116,9,
Snowbasin,snowbasin.osm,w,UT,west,45.4,12.0,919.0,105,9,
Snowbird,snowbird.osm,n,UT,west,50.7,9.9,1013.0,188,14,
Snowmass,snowmass.osm,n,CO,west,37.2,12.0,1347.0,108,17,
Snowshoe,snowshoe.osm,e,WV,southeast,23.8,10.3,460.0,40,7,
Solitude,solitude.osm,w,UT,west,47.9,11.6,734.0,88,9,brighton
Steamboat Springs,steamboat_springs.osm,e,CO,west,36.5,8.4,1120.0,168,23,
Stowe,stowe.osm,w,VT,northeast,34.8,8.0,727.0,135,13,
Stratton,stratton.osm,n,VT,northeast,30.1,5.1,579.0,162,19,
Sugar Bowl,sugar_bowl.osm,n,CA,west,35.2,8.8,449.0,87,13,
Sugarbush,sugarbush.osm,w,VT,northeast,32.2,8.6,783.0,143,18,
Sugarloaf,sugarloaf.osm,n,ME,northeast,33.7,6.6,859.0,144,13,
Suicide Six,suicide_six.osm,n,VT,northeast,27.7,15.6,184.0,24,3,
Sun Valley,sun_valley.osm,w,ID,west,35.7,13.1,1021.0,89,12,
Sunday River,sunday_river.osm,n,ME,northeast,32.9,6.8,707.0,131,18,
Tamarack,tamarack.osm,w,ID,west,31.8,13.1,835.0,46,7,
Taos,taos.osm,n,NM,west,38.8,13.7,922.0,70,14,
Telluride,telluride.osm,n,CO,west,43.1,7.9,1237.0,149,18,
Thunder Ridge,thunder_ridge.osm,e,NY,northeast,25.6,13.0,121.0,18,7,
Timberline Lodge,timberline_lodge.osm,s,OR,west,28.6,8.3,1372.0,56,9,
Timberline Mountain,timberline_mountain.osm,n,WV,southeast,21.4,7.6,294.0,29,3,
Titcomb,titcomb.osm,n,ME,northeast,20.7,13.0,92.0,17,3,
Tussey,tussey.osm,n,PA,northeast,23.5,14.4,149.0,17,4,
Vail,vail.osm,n,CO,west,39.9,8.3,1052.0,230,32,
Wachusett,wachusett.osm,n,MA,northeast,22.0,10.0,291.0,30,6,
Waterville Valley,waterville_valley.osm,w,NH,northeast,30.9,11.4,609.0,79,11,
West Mountain,west_mountain.osm,w,NY,northeast,23.9,13.8,308.0,29,6,
Whaleback,whaleback.osm,n,NH,northeast,26.1,11.5,197.0,36,4,
Whiteface,whiteface.osm,w,NY,northeast,38.3,8.9,1028.0,95,11,
Whitefish,whitefish.osm,s,MT,west,43.2,7.7,699.0,128,15,
Whitetail,whitetail.osm,w,PA,northeast,23.0,9.7,282.0,22,8,
Wildcat,wildcat.osm,n,NH,northeast,29.7,12.9,620.0,57,4,
Windham,windham.osm,n,NY,northeast,28.7,11.6,421.0,45,10,
Winter Park,winter_park.osm,n,CO,west,36.9,7.7,886.0,168,24,
Wintergreen Resort,wintergreen_resort.osm,e,VA,southeast,22.9,13.0,302.0,17,9,
Winterplace,winterplace.osm,n,WV,southeast,22.5,9.9,158.0,22,10,
Wisp,wisp.osm,n,MD,southeast,23.6,10.0,177.0,32,10,
Wolf Creek,wolf_creek.osm,n,CO,west,24.8,10.2,452.0,46,10,
Wolf Ridge,wolf_ridge.osm,n,NC,southeast,21.2,12.6,189.0,26,5,
Yawgoo Valley,yawgoo_valley.osm,w,RI,northeast,14.8,10.0,56.0,12,3,
